obstruction_ceiling,age_group,initial_grade,bbd_severity_label,recommended_technique,deflux_volume_ml,reflux_fraction,obstruction_index,selection_mode,safe_candidates_n,reference_0p15_technique,reference_0p15_volume_ml,changed_vs_0p15
0.25,10_16y,4,none,double_hit,2.00,0.0000,0.2072,within_ceiling,25,double_hit,1.50,1
0.25,10_16y,4,severe,double_hit,2.00,0.0000,0.2072,within_ceiling,25,double_hit,1.50,1
0.25,10_16y,5,moderate,double_hit,2.00,0.0369,0.1179,within_ceiling,27,double_hit,2.00,0
0.25,10_16y,5,none,double_hit,2.00,0.0077,0.1179,within_ceiling,27,double_hit,2.00,0
0.25,10_16y,5,severe,double_hit,2.00,0.0807,0.1179,within_ceiling,27,double_hit,2.00,0
0.25,12_18m,1,moderate,double_hit_plus_sting,0.60,0.0000,0.2277,within_ceiling,24,double_hit,0.60,1
0.25,12_18m,1,none,double_hit,0.60,0.0000,0.1320,within_ceiling,24,double_hit,0.60,0
0.25,12_18m,1,severe,double_hit_plus_sting,0.60,0.0004,0.2277,within_ceiling,24,double_hit,0.60,1
0.25,12_18m,2,moderate,double_hit_plus_sting,0.60,0.0000,0.2275,within_ceiling,24,double_hit,0.60,1
0.25,12_18m,2,none,double_hit,0.60,0.0000,0.1315,within_ceiling,24,double_hit,0.60,0
0.25,12_18m,2,severe,double_hit_plus_sting,0.60,0.0013,0.2275,within_ceiling,24,double_hit,0.60,1
0.25,12_18m,3,moderate,double_hit_plus_sting,0.80,0.0001,0.2294,within_ceiling,24,double_hit,0.60,1
0.25,12_18m,3,none,double_hit,0.60,0.0000,0.1284,within_ceiling,24,double_hit,0.60,0
0.25,12_18m,3,severe,double_hit_plus_sting,0.80,0.0036,0.2294,within_ceiling,24,double_hit,0.60,1
0.25,12_18m,4,moderate,double_hit_plus_sting,1.20,0.0003,0.2360,within_ceiling,24,double_hit,0.80,1
0.25,12_18m,4,none,double_hit,0.80,0.0000,0.1328,within_ceiling,24,double_hit,0.80,0
0.25,12_18m,4,severe,double_hit_plus_sting,1.20,0.0087,0.2360,within_ceiling,24,double_hit,0.80,1
0.25,12_18m,5,moderate,double_hit,1.20,0.0034,0.1878,within_ceiling,19,double_hit_plus_sting,1.20,1
0.25,12_18m,5,none,double_hit,1.20,0.0000,0.1878,within_ceiling,19,hit,0.60,1
0.25,12_18m,5,severe,double_hit,1.20,0.0266,0.1878,within_ceiling,19,double_hit_plus_sting,1.20,1
0.25,18_24m,1,moderate,double_hit,0.60,0.0000,0.1313,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,1,none,double_hit,0.60,0.0000,0.1313,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,1,severe,double_hit,0.60,0.0000,0.1313,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,2,moderate,double_hit,0.60,0.0000,0.1308,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,2,none,double_hit,0.60,0.0000,0.1308,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,2,severe,double_hit_plus_sting,0.80,0.0000,0.2313,within_ceiling,24,double_hit,0.60,1
0.25,18_24m,3,moderate,double_hit,0.60,0.0000,0.1280,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,3,none,double_hit,0.60,0.0000,0.1280,within_ceiling,24,double_hit,0.60,0
0.25,18_24m,3,severe,double_hit_plus_sting,1.00,0.0000,0.2337,within_ceiling,24,double_hit,0.60,1
0.25,18_24m,4,moderate,double_hit,0.80,0.0000,0.1312,within_ceiling,25,double_hit,0.80,0
0.25,18_24m,4,none,double_hit,0.80,0.0000,0.1312,within_ceiling,25,double_hit,0.80,0
0.25,18_24m,4,severe,double_hit_plus_sting,1.20,0.0000,0.2344,within_ceiling,25,double_hit,0.80,1
0.25,18_24m,5,moderate,double_hit,1.20,0.0000,0.1826,within_ceiling,20,double_hit_plus_sting,1.50,1
0.25,18_24m,5,none,double_hit,1.20,0.0000,0.1826,within_ceiling,20,double_hit_plus_sting,1.50,1
0.25,18_24m,5,severe,double_hit,1.20,0.0016,0.1826,within_ceiling,20,double_hit_plus_sting,1.50,1
0.25,24_60m,1,moderate,double_hit,0.60,0.0000,0.1308,within_ceiling,22,double_hit,0.60,0
0.25,24_60m,1,none,double_hit,0.60,0.0000,0.1308,within_ceiling,22,double_hit,0.60,0
0.25,24_60m,1,severe,double_hit,0.60,0.0000,0.1308,within_ceiling,22,double_hit,0.60,0
0.25,24_60m,2,moderate,double_hit,0.60,0.0000,0.1303,within_ceiling,22,double_hit,0.60,0
0.25,24_60m,2,none,double_hit,0.60,0.0000,0.1303,within_ceiling,22,double_hit,0.60,0
0.25,24_60m,2,severe,double_hit,0.60,0.0000,0.1303,within_ceiling,22,double_hit,0.60,0
0.25,24_60m,3,moderate,double_hit,0.80,0.0000,0.1350,within_ceiling,22,double_hit,0.80,0
0.25,24_60m,3,none,double_hit_plus_sting,1.00,0.0000,0.1102,within_ceiling,22,double_hit_plus_sting,1.00,0
0.25,24_60m,3,severe,double_hit,0.80,0.0000,0.1350,within_ceiling,22,double_hit,0.80,0
0.25,24_60m,4,moderate,double_hit,1.00,0.0000,0.1383,within_ceiling,24,double_hit,1.00,0
0.25,24_60m,4,none,double_hit,1.00,0.0000,0.1383,within_ceiling,24,double_hit,1.00,0
0.25,24_60m,4,severe,double_hit,1.00,0.0000,0.1383,within_ceiling,24,double_hit,1.00,0
0.25,24_60m,5,moderate,double_hit,1.50,0.0000,0.2000,within_ceiling,22,double_hit,1.20,1
0.25,24_60m,5,none,double_hit,1.50,0.0000,0.2000,within_ceiling,22,double_hit,1.20,1
0.25,24_60m,5,severe,double_hit,1.50,0.0000,0.2000,within_ceiling,22,double_hit,1.20,1
0.25,5_10y,1,moderate,double_hit_plus_sting,1.00,0.0000,0.0981,within_ceiling,22,double_hit_plus_sting,1.00,0
0.25,5_10y,1,none,double_hit_plus_sting,1.00,0.0000,0.0981,within_ceiling,22,double_hit_plus_sting,1.00,0
0.25,5_10y,1,severe,double_hit,0.80,0.0000,0.1380,within_ceiling,22,double_hit,0.80,0
0.25,5_10y,2,moderate,double_hit,0.80,0.0000,0.1372,within_ceiling,22,double_hit,0.80,0
0.25,5_10y,2,none,double_hit_plus_sting,1.00,0.0000,0.0605,within_ceiling,22,double_hit_plus_sting,1.00,0
0.25,5_10y,2,severe,double_hit,0.80,0.0000,0.1372,within_ceiling,22,double_hit,0.80,0
0.25,5_10y,3,moderate,double_hit,1.00,0.0000,0.1420,within_ceiling,23,double_hit,1.00,0
0.25,5_10y,3,none,double_hit,1.00,0.0000,0.1420,within_ceiling,23,double_hit,1.00,0
0.25,5_10y,3,severe,double_hit,1.00,0.0000,0.1420,within_ceiling,23,double_hit,1.00,0
0.25,5_10y,4,moderate,double_hit,1.20,0.0000,0.1045,within_ceiling,24,double_hit,1.20,0
0.25,5_10y,4,none,double_hit,1.20,0.0000,0.1045,within_ceiling,24,double_hit,1.20,0
0.25,5_10y,4,severe,double_hit,1.50,0.0000,0.1717,within_ceiling,24,double_hit,1.20,1
0.25,5_10y,5,moderate,double_hit,2.00,0.0000,0.2364,within_ceiling,25,double_hit,1.50,1
0.25,5_10y,5,none,double_hit,2.00,0.0000,0.2364,within_ceiling,25,double_hit,1.50,1
0.25,5_10y,5,severe,double_hit,2.00,0.0000,0.2364,within_ceiling,25,double_hit,1.50,1
